FID,Station_ID,Latitude,Longitude,Input_FID,Area
651,14903,-46.575,169.275,3253,2.38336
652,14902,-46.525,169.275,3252,2.13248
653,14901,-46.475,169.275,3251,2.13438
654,14742,-46.625,169.025,3107,2.74671
655,14741,-46.575,169.025,3106,2.13045
656,14740,-46.525,169.025,3105,2.13236
657,14739,-46.475,169.025,3104,2.13426
658,14619,-46.625,169.225,2993,2.76101
659,14618,-46.575,169.225,2992,2.13055
660,14617,-46.525,169.225,2991,2.13245
661,14616,-46.475,169.225,2990,2.13436
662,14319,-46.625,169.175,2732,2.15982
663,14318,-46.575,169.175,2731,2.13052
664,14317,-46.525,169.175,2730,2.13243
665,14316,-46.475,169.175,2729,2.13433
666,12883,-46.625,169.125,1460,1.61803
667,12881,-46.525,169.125,1458,2.1324
668,12880,-46.475,169.125,1457,2.13431
669,15146,-46.575,168.825,3465,2.19712
670,15144,-46.475,168.825,3463,2.13419
671,14980,-46.575,168.775,3322,1.21491
672,14979,-46.525,168.775,3321,2.13226
673,14978,-46.475,168.775,3320,2.13417
674,14850,-46.525,168.725,3202,2.38569
675,14848,-46.475,168.725,3201,2.13415
676,14442,-46.625,168.975,2845,2.97744
677,14441,-46.575,168.975,2844,2.13043
678,14440,-46.525,168.975,2843,2.13233
679,14439,-46.475,168.975,2842,2.13424
680,14406,-46.575,168.675,2810,1.20431
681,14404,-46.525,168.675,2809,2.13223
682,14403,-46.475,168.675,2808,2.13414
683,14264,-46.625,168.925,2684,2.52898
684,14263,-46.575,168.925,2683,2.1304
685,14262,-46.525,168.925,2682,2.13231
686,14261,-46.475,168.925,2681,2.13422
687,12830,-46.625,168.875,1413,3.40671
688,12829,-46.575,168.875,1412,2.13038
689,12828,-46.525,168.875,1411,2.13229
690,12826,-46.475,168.875,1410,2.1342
691,14237,-46.575,168.625,2662,7.15077
692,14236,-46.525,168.625,2661,2.13222
693,14235,-46.475,168.625,2660,2.13413
694,14234,-46.425,168.625,2659,2.13604
695,10635,-46.575,168.575,904,1.10936
696,10634,-46.525,168.575,903,2.13221
697,10633,-46.475,168.575,902,2.13412
698,10632,-46.425,168.575,901,2.13603
699,9975,-46.575,168.525,797,5.16864
700,9974,-46.525,168.525,796,2.13219
701,9973,-46.475,168.525,795,2.13411
702,9953,-46.425,168.525,794,2.13602
703,9343,-46.475,168.475,639,2.1341
704,9342,-46.425,168.475,638,2.13601
705,8790,-46.525,168.425,481,3.18974
706,8789,-46.475,168.425,480,2.13409
707,8788,-46.425,168.425,479,2.13601
708,7645,-46.525,168.375,285,3.03248
709,7644,-46.475,168.375,284,1.54844
710,7643,-46.425,168.375,283,2.11485
711,10736,-46.525,168.325,953,2.70532
712,10735,-46.425,168.325,952,1.7569
713,9891,-46.475,168.275,788,1.92493
714,9890,-46.425,168.275,787,2.87728
715,12804,-46.175,166.725,1393,2.59178
716,12803,-46.125,166.725,1392,2.95902
717,12335,-46.125,166.625,1313,2.13807
718,11483,-46.225,167.025,1127,1.41228
719,11482,-46.175,167.025,1126,2.1459
720,11436,-46.175,166.975,1104,2.07338
721,11066,-46.175,166.925,1057,2.30928
722,11065,-46.125,166.925,1056,2.14511
723,7544,-46.175,166.875,187,2.77393
724,7543,-46.125,166.875,186,2.1479
725,7441,-46.175,166.775,95,3.01027
726,7440,-46.125,166.775,94,2.14796
727,7350,-46.175,166.825,15,2.72827
728,7349,-46.125,166.825,14,2.14793
729,12383,-46.225,167.175,1339,2.56669
730,12382,-46.175,167.175,1338,2.14582
731,12134,-46.225,167.125,1267,2.34152
732,12133,-46.175,167.125,1266,2.14585
733,11925,-46.175,167.375,1216,1.5108
734,11898,-46.225,167.075,1196,1.95924
735,11897,-46.175,167.075,1195,2.14587
736,11606,-46.225,167.325,1135,2.48084
737,11526,-46.175,167.325,1134,2.14576
738,7471,-46.225,167.275,122,2.04202
739,7469,-46.175,167.275,121,2.14578
740,7380,-46.175,167.225,42,2.1458
741,12789,-46.225,167.675,1378,1.49907
742,12788,-46.175,167.675,1377,2.04597
743,12318,-46.175,167.625,1301,1.9847
744,9638,-46.325,168.025,673,1.88592
745,9637,-46.275,168.025,672,2.14174
746,9576,-46.225,168.025,671,2.14366
747,9070,-46.375,167.975,521,1.7682
748,9069,-46.325,167.975,520,1.86972
749,9068,-46.275,167.975,519,2.14175
750,9067,-46.225,167.975,518,2.14366
751,9066,-46.175,167.975,517,2.14558
752,7733,-46.325,167.925,370,2.36614
753,7732,-46.275,167.925,369,2.14176
754,7731,-46.225,167.925,368,2.14367
755,7730,-46.175,167.925,367,2.14558
756,7681,-46.375,167.875,321,1.74031
757,7680,-46.325,167.875,320,2.13985
758,7678,-46.225,167.875,318,2.14368
759,7677,-46.175,167.875,317,2.14559
